
2026-01-06 00:04:27.104 T:6180     info <general>: Loading skin file: Custom_1110_TVShows_Hub.xml, load type: KEEP_IN_MEMORY
2026-01-06 00:04:27.133 T:6180  warning <general>: Trying to add unsupported control type 7
2026-01-06 00:05:00.164 T:23248    info <general>: Skipped 44 duplicate messages..
2026-01-06 00:05:00.164 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/sync/watched/shows?page=430&limit=100
2026-01-06 00:05:00.534 T:28184    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:00.534 T:28184   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt37146661/progress/watched
2026-01-06 00:05:01.553 T:28184    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:01.553 T:28184   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt3914054/progress/watched
2026-01-06 00:05:02.523 T:28184    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:02.523 T:28184   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt36770974/progress/watched
2026-01-06 00:05:03.456 T:28184    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:03.456 T:28184   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt32361930/progress/watched
2026-01-06 00:05:45.698 T:23248    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:45.698 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/users/hidden/progress_watched?page=1&limit=100
2026-01-06 00:05:45.699 T:23248    info <general>: [AIOStreams] get_hidden_shows() fetched 0 Trakt IDs from 1 page(s), caching with incremental sync support
2026-01-06 00:05:45.702 T:20752   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/users/hidden/progress_watched?page=1&limit=100
2026-01-06 00:05:45.702 T:20752    info <general>: [AIOStreams] get_hidden_shows() fetched 0 Trakt IDs from 1 page(s), caching with incremental sync support
2026-01-06 00:05:45.763 T:23248    info <general>: [AIOStreams] Next Up: Filtered out 0 hidden shows, 51909 active shows remaining
2026-01-06 00:05:45.819 T:14520    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:45.819 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt33298903/progress/watched
2026-01-06 00:05:45.895 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:45.922 T:14520    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:45.922 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt33298903/progress/watched
2026-01-06 00:05:45.951 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:45.989 T:14520    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:45.989 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/sync/watchlist/shows
2026-01-06 00:05:46.020 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:46.071 T:14520    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:46.071 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt38673133/progress/watched
2026-01-06 00:05:46.076 T:23248   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:46.146 T:14520    info <general>: Skipped 2 duplicate messages..
2026-01-06 00:05:46.146 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/tt38673133/progress/watched
2026-01-06 00:05:46.172 T:20752   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:46.225 T:14520    info <general>: Skipped 1 duplicate messages..
2026-01-06 00:05:46.225 T:14520   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/sync/watchlist/shows
2026-01-06 00:05:46.239 T:20752   error <general>: [AIOStreams] Trakt API error: 429 Client Error: Too Many Requests for url: https://api.trakt.tv/shows/181835/progress/watched
2026-01-06 00:05:46.295 T:14520    info <general>: Skipped 1 duplicate messages..
